,hindi,english
0,अपने अनुप्रयोग को पहुंचनीयता व्यायाम का लाभ दें,Give your application an accessibility workout
1,एक्सेर्साइसर पहुंचनीयता अन्वेषक,Accerciser Accessibility Explorer
2,निचले पटल के लिए डिफोल्ट प्लग-इन खाका,The default plugin layout for the bottom panel
3,ऊपरी पटल के लिए डिफोल्ट प्लग-इन खाका,The default plugin layout for the top panel
4,उन प्लग-इनों की सूची जिन्हें डिफोल्ट रूप से निष्क्रिय किया गया है,A list of plugins that are disabled by default
5,अवधि को हाइलाइट रकें,Highlight duration
6,पहुंचनीय आसंधि (नोड) को चुनते समय हाइलाइट बक्से की अवधि,The duration of the highlight box when selecting accessible nodes
7,सीमांत (बोर्डर) के रंग को हाइलाइट करें,Highlight border color
8,हाइलाइट किए गए सीमांत का रंग और अपारदर्शिता। ,The color and opacity of the highlight border.
9,भराई के रंग को हाइलाइट करें,Highlight fill color
10,हाइलाइट किया गया भराई का रंग और पारदर्शिता। ,The color and opacity of the highlight fill.
11,एपीआई विचरक,API Browser
12,"इस समय जिसे प्राप्त किया गया हो, उसकी विभिन्न विधियों (मेथड) में विचरण करें",Browse the various methods of the current accessible
13,निजी गुणों को छिपाएं,Hide private attributes
14,विधि,Method
15,गुणधर्म,Property
16,मान,Value
17,आईपाइथन कन्सोल,IPython Console
18,इस समय चुने गए एक्सेसेबेल से काम लेने के लिए अंतर्क्रियात्मक कन्सोल,Interactive console for manipulating currently selected accessible
19,घटना मानिटर,Event monitor
20,घटनाओं को मानिटर करें (_ M) ,_ Monitor Events
21,चुनाव को हटाएं (C _) ,C _ lear Selection
22,सभी,Everything
23,चुने गए अनुप्रयोग,Selected application
24,चुने गए एक्सेसेबेल,Selected accessible
25,स्रोत,Source
26,घटना मानिटर,Event Monitor
27,"चुने गए प्रकारों और स्रोतों से घटनाएं जैसे-जैसे घटित होती हैं, उन्हें दर्शाता है",Shows events as they occur from selected types and sources
28,अंतिम प्रविष्ट घटना को हाइलाइट करो,Highlight last event entry
29,घटना रेकोर्डिंग शुरू करो/रोको,Start / stop event recording
30,घटना रोजनामचा मिटाओ,Clear event log
31,कोई विवरण नहीं,(no description)
32,वर्णन,Description
33,दिखाएं,Show
34,पहुंचनीय,_ Accessible
35,कार्रवाई संपन्न करें,Perform action
36,कार्रवाई (_ o) ,Acti _ on
37,आईडी,ID
38,औजार बक्सा,Toolkit
39,संस्करण,Version
40,अनुप्रयोग,Ap _ plication
41,संग्रह,Col _ lection
42,"0, 0","0, 0"
43,सापेक्ष स्थिति,Relative position
44,आकार,Size
45,विडजेट,WIDGET
46,स्तर,Layer
47,एमडीआई-जेड-क्रम,MDI - Z - order
48,अल्फा,Alpha
49,निरपेक्ष स्थिति,Absolute position
50,घटक,Co _ mponent
51,डेस्कटोप,Des _ ktop
52,स्थान-विशिष्टः,Locale:
53,प्रलेख,_ Document
54,हाइपरकड़ी,Hyperlink
55,हाइपरपाठ,H _ ypertext
56,स्थिति,Position
57,वर्णन,Description
58,स्थान-विशिष्ट,Locale
59,छवि (_ I) ,_ Image
60,प्रवेश सहायक,Lo _ gin Helper
61,सभी चुनें,Select All
62,चयन (_ S) ,_ Selection
63,प्रवाहित करनेयोग्य विषयवस्तु,St _ reamable Content
64,चुने गए स्तंभ,Selected columns
65,चुनी गई पंक्तियां,Selected rows
66,स्तंभ,Columns
67,पंक्तियां,Rows
